n,pi,E_mod
2469,328,313.771
2470,323,313.882
2471,316,313.931
2472,317,314.042
2475,322,314.441
2477,325,314.792
2479,329,314.952
2480,318,315.064
2482,319,315.287
2483,332,315.336
2485,319,315.496
2487,319,315.655
2489,333,315.878
2490,322,315.990
2491,320,316.102
2494,331,316.373
2495,320,316.484
2496,321,316.532
2498,317,316.755
2499,319,316.803
2500,328,316.914
2501,322,316.962
2502,333,317.073
2504,321,317.359
2506,343,317.518
2507,321,317.629
2508,321,317.741
2509,342,317.852
2510,336,317.900
2513,336,318.169
2514,324,318.280
2515,332,318.392
2518,325,318.724
2521,328,319.121
2528,325,319.834
2529,322,319.882
2530,332,319.993
2531,324,320.230
2533,331,320.452
2534,326,320.563
2538,325,320.943
2539,329,321.181
2540,333,321.229
2542,329,321.450
2545,324,321.847
2546,323,321.958
2547,326,322.068
2548,323,322.179
2549,336,322.354
2551,333,322.639
2552,327,322.750
2555,342,323.020
2557,326,323.305
2558,332,323.416
2561,344,323.686
2562,324,323.797
2563,327,323.908
2565,354,324.130
2566,327,324.241
2568,326,324.462
2569,329,324.573
2570,327,324.684
2571,346,324.795
2572,333,324.906
2574,329,325.064
2576,330,325.223
2577,333,325.334
2581,329,325.903
2582,330,326.014
2584,331,326.172
2586,339,326.330
2587,334,326.441
2588,331,326.552
2589,337,326.599
2590,333,326.710
2591,338,326.946
2592,338,327.057
2593,328,327.294
2594,330,327.342
2597,339,327.674
2598,334,327.722
2599,349,327.832
2607,342,328.654
2608,343,328.764
2609,340,329.001
2611,342,329.222
2613,334,329.380
2614,333,329.491
2615,333,329.539
2617,333,329.823
2618,346,329.870
2619,356,329.981
2620,337,330.091
2623,349,330.549
2625,342,330.770
2628,337,331.101
2630,348,331.259
2633,352,331.717
2634,337,331.827
2635,343,331.938
2636,357,331.985
2638,343,332.206
2639,333,332.254
2640,343,332.301
2643,340,332.632
2644,337,332.742
2648,335,333.247
2649,345,333.357
2650,337,333.467
2651,355,333.515
2652,349,333.625
2653,345,333.735
2654,347,333.783
2655,334,333.893
2656,341,334.003
2659,346,334.586
2660,343,334.696
2661,338,334.743
2662,355,334.854
2664,354,335.200
2665,348,335.311
2667,340,335.469
2672,348,336.146
2673,340,336.194
2674,338,336.304
2675,341,336.352
2677,353,336.698
2679,348,336.919
2681,349,337.140
2683,350,337.487
2685,345,337.708
2687,347,338.055
2689,341,338.402
2690,349,338.450
2691,342,338.560
2692,348,338.671
2694,343,338.955
2695,350,339.066
2696,342,339.114
2697,345,339.224
2699,349,339.509
2700,343,339.619
2702,341,339.841
2704,352,339.999
2706,342,340.157
2710,350,340.600
2711,347,340.836
2712,342,340.947
2713,344,341.183
2714,348,341.294
2715,358,341.342
2716,343,341.453
2719,342,341.848
2720,345,341.896
2722,354,342.054
2723,349,342.165
2724,343,342.213
2725,347,342.323
2726,355,342.434
2728,356,342.655
2729,354,342.891
2734,367,343.571
2738,349,343.888
2739,344,343.936
2741,367,344.220
2744,361,344.551
2745,346,344.662
2746,358,344.773
2747,360,344.883
2748,347,344.994
2749,350,345.230
2751,352,345.326
2754,356,345.720
2755,357,345.831
2756,354,345.942
2757,365,346.052
2758,355,346.163
2761,390,346.369
2765,362,346.685
2766,348,346.796
2767,352,347.031
2769,358,347.252
2772,356,347.584
2773,357,347.694
2774,358,347.804
2776,350,348.025
2777,355,348.261
2778,361,348.309
2782,351,348.688
2784,359,348.846
2788,352,349.224
2789,361,349.460
2792,356,349.854
2793,364,349.964
2795,368,350.122
2799,373,350.689
2800,371,350.799
2802,353,351.146
2803,360,351.382
2805,366,351.603
2806,357,351.713
2807,364,351.824
2808,355,351.935
2809,354,352.045
2812,362,352.314
2814,358,352.535
2816,357,352.756
2818,370,352.977
2821,362,353.308
2823,363,353.467
2824,365,353.577
2825,365,353.625
2827,357,353.783
2829,363,353.878
2832,372,354.209
2835,361,354.602
2836,355,354.712
2837,360,354.947
2838,372,355.058
2839,365,355.168
2840,360,355.278
2843,357,355.671
2847,363,355.987
2848,362,356.098
2849,360,356.208
2850,393,356.255
2854,358,356.821
2855,371,356.869
2856,361,356.979
2857,366,357.215
2859,358,357.373
2860,380,357.483
2863,360,357.939
2864,373,358.049
2865,365,358.159
2868,363,358.428
2869,374,358.538
2870,369,358.585
2871,359,358.633
2875,364,359.011
2876,365,359.121
2877,367,359.231
2878,368,359.341
2881,373,359.796
2882,361,359.906
2883,361,360.016
2884,367,360.126
2885,361,360.236
2887,363,360.581
2888,375,360.692
2889,383,360.739
2892,369,361.007
2894,371,361.227
2895,371,361.275
2896,362,361.385
2900,383,361.887
2903,367,362.280
2907,372,362.657
2908,373,362.767
2910,374,363.050
2911,364,363.160
2912,388,363.270
2914,371,363.427
2916,370,363.647
2917,377,363.882
2918,364,363.992
2919,383,364.040
2921,371,364.197
2922,378,364.307
2924,392,364.465
2927,383,364.856
2928,393,364.904
2929,366,365.014
2932,370,365.281
2933,366,365.328
2934,383,365.376
2936,366,365.595
2938,380,365.815
2939,366,365.987
2941,389,366.144
2942,382,366.253
2944,381,366.473
2946,372,366.692
2947,375,366.801
2948,372,366.849
2949,376,366.958
2950,369,367.068
2951,378,367.115
2952,375,367.225
2953,375,367.459
2954,376,367.568
2956,373,367.787
2959,393,368.241
2960,374,368.350
2961,380,368.398
2963,403,368.679
2968,380,369.227
2970,391,369.509
2974,383,370.072
2978,388,370.449
2981,372,370.778
2982,387,370.888
2984,382,371.107
2985,381,371.217
2986,372,371.326
2987,396,371.436
2989,384,371.655
2991,378,371.812
2996,379,372.297
2997,394,372.406
2998,380,372.516
2999,381,372.750
3003,390,373.250
3005,374,373.407
3006,375,373.517
3007,395,373.626
3011,388,374.188
3013,385,374.407
3014,388,374.455
3016,379,374.674
3022,396,375.331
3023,392,375.503
3027,382,375.878
3029,390,376.097
3030,381,376.207
3031,383,376.316
3032,390,376.426
3034,380,376.582
3035,385,376.692
3036,395,376.739
3037,390,376.973
3039,384,377.129
3041,402,377.472
3042,382,377.582
3044,390,377.739
3046,384,377.895
3048,381,378.114
3049,401,378.347
3051,389,378.504
3053,381,378.723
3055,391,378.942
3057,404,379.098
3059,392,379.317
3063,389,379.816
3065,385,379.972
3066,381,380.020
3069,384,380.472
3072,388,380.737
3073,386,380.847
3077,404,381.221
3080,386,381.673
3082,393,381.829
3083,396,382.062
3085,385,382.281
3087,405,382.438
3088,383,382.547
3089,385,382.780
3091,397,382.999
3093,395,383.217
3094,391,383.326
3095,416,383.436
3096,393,383.545
3097,389,383.654
3100,386,383.858
3102,397,384.014
3104,385,384.232
3105,401,384.279
3106,387,384.388
3108,389,384.545
3109,400,384.777
3111,390,384.933
3112,392,385.042
3115,398,385.308
3118,392,385.634
3119,403,385.867
3120,392,385.976
3121,396,386.209
3126,388,386.692
3128,397,386.848
3129,387,386.957
3130,401,387.066
3131,395,387.113
3133,413,387.331
3135,390,387.425
3136,388,387.534
3139,393,387.922
3140,399,388.031
3145,406,388.513
3151,414,389.042
3156,392,389.523
3158,400,389.679
3161,399,389.942
3163,393,390.283
3164,391,390.330
3165,409,390.438
3167,397,390.778
3168,392,390.825
3169,408,391.057
3170,403,391.166
3171,393,391.213
3174,405,391.538
3175,401,391.647
3177,396,391.802
3179,408,391.957
3180,396,392.004
3181,399,392.236
3184,424,392.500
3187,395,392.887
3189,397,393.042
3193,397,393.599
3194,402,393.646
3197,417,393.971
3198,405,394.018
3199,399,394.126
3201,397,394.343
3202,401,394.451
3203,408,394.683
3204,409,394.791
3205,407,394.900
3207,398,395.117
3210,405,395.503
3212,408,395.720
3213,405,395.767
3214,400,395.876
3215,418,395.984
3218,412,396.432
3220,407,396.649
3222,413,396.989
3223,400,397.098
3224,412,397.145
3226,402,397.300
3227,410,397.409
3229,412,397.749
3231,408,397.966
3233,414,398.183
3235,416,398.338
3236,403,398.385
3238,418,398.602
3240,404,398.757
3241,404,398.865
3242,405,398.973
3245,405,399.237
3246,400,399.345
3247,423,399.453
3248,401,399.561
3249,402,399.669
3250,416,399.778
3253,402,400.349
3254,412,400.457
3257,401,400.905
3259,420,401.245
3261,402,401.401
3262,413,401.509
3264,405,401.665
3266,429,401.881
3267,413,401.990
3268,407,402.098
3269,404,402.207
3270,405,402.315
3271,415,402.547
3272,409,402.655
3273,424,402.702
3275,403,402.857
3277,407,403.012
3278,409,403.121
3282,408,403.492
3283,406,403.601
3285,404,403.694
3286,418,403.802
3288,414,403.957
3291,421,404.220
3292,430,404.328
3293,411,404.436
3295,409,404.652
3296,418,404.760
3299,410,405.145
3301,431,405.484
3304,424,405.747
3305,419,405.855
3307,415,406.194
3308,430,406.302
3310,417,406.457
3311,413,406.565
3313,416,406.904
3315,416,407.121
3316,410,407.229
3321,409,407.831
3322,411,407.939
3323,421,408.170
3324,417,408.279
3325,423,408.387
3326,409,408.434
3327,415,408.542
3328,421,408.650
3330,425,408.867
3331,424,409.098
3333,427,409.314
3338,434,409.794
3340,415,409.949
3341,418,410.057
3342,420,410.165
3343,422,410.396
3345,422,410.490
3346,415,410.598
3349,421,411.046
3352,416,411.247
3353,420,411.356
3354,428,411.402
3357,416,411.727
3359,414,412.004
3360,435,412.112
3363,425,412.560
3364,416,412.668
3365,431,412.776
3368,426,412.978
3372,419,413.533
3375,438,413.980
3376,417,414.088
3379,430,414.413
3382,431,414.615
3384,443,414.831
3385,424,414.939
3386,425,415.047
3387,422,415.155
3389,419,415.433
3390,418,415.480
3391,428,415.710
3394,429,416.035
3395,434,416.082
3397,440,416.237
3398,420,416.345
3400,427,416.561
3403,425,416.824
3406,440,417.147
3407,443,417.378
3408,442,417.486
3409,427,417.594
3412,436,417.857
3413,434,418.026
3414,422,418.073
3418,422,418.444
3419,427,418.551
3420,444,418.598
3423,423,418.922
3425,435,419.138
3427,436,419.353
3432,463,419.770
3433,425,420.000
3434,421,420.046
3435,437,420.093
3437,433,420.309
3443,438,420.893
3444,438,421.001
3446,450,421.216
3449,431,421.600
3451,423,421.816
3452,428,421.923
3453,457,421.970
3455,430,422.124
3456,433,422.231
3457,438,422.461
3458,432,422.508
3460,425,422.723
3461,441,422.953
3465,426,423.506
3466,441,423.614
3469,434,424.182
3470,425,424.289
3472,452,424.505
3474,429,424.599
3479,438,425.077
3480,437,425.123
3483,439,425.385
3484,447,425.493
3485,426,425.539
3488,431,425.801
3490,444,426.016
3494,449,426.507
3496,437,426.661
3497,442,426.769
3501,437,427.199
3503,441,427.414
3505,439,427.629
3506,434,427.675
3507,439,427.783
3508,462,427.890
3509,429,427.937
3514,439,428.535
3515,446,428.642
3516,486,428.749
3518,443,429.086
3520,444,429.240
3521,433,429.287
3522,455,429.394
3524,432,429.609
3527,442,430.053
3528,431,430.099
3529,431,430.329
3531,434,430.544
3532,437,430.651
3533,434,430.880
3536,437,431.142
3537,448,431.250
3538,458,431.357
3541,442,431.863
3542,433,431.970
3546,444,432.401
3547,439,432.630
3548,433,432.738
3549,436,432.846
3550,448,432.953
3552,435,433.108
3553,450,433.215
3556,442,433.477
3560,465,434.090
3563,446,434.352
3565,458,434.507
3566,454,434.614
3568,456,434.829
3569,448,434.937
3571,439,435.274
3572,445,435.382
3573,441,435.489
3574,443,435.597
3576,438,435.751
3577,442,435.859
3579,437,436.013
3581,453,436.350
3582,437,436.457
3584,453,436.794
3586,450,437.010
3587,446,437.117
3590,454,437.379
3594,447,437.871
3598,449,438.240
3604,457,438.824
3605,453,438.871
3606,442,438.918
3607,446,439.147
3608,451,439.254
3610,441,439.408
3612,454,439.623
3615,444,440.007
3619,447,440.498
3620,451,440.605
3622,451,440.759
3623,450,440.928
3624,450,441.035
3629,455,441.512
3630,444,441.619
3631,452,441.848
3632,451,441.956
3633,449,442.063
3635,444,442.278
3636,446,442.386
3637,444,442.615
3639,449,442.830
3642,452,443.092
3643,450,443.321
3644,452,443.429
3646,459,443.644
3647,452,443.751
3648,452,443.798
3649,455,443.906
3651,462,444.121
3654,453,444.321
3655,455,444.429
3657,460,444.644
3660,456,445.027
3665,469,445.503
3668,456,445.764
3671,451,446.208
3673,458,446.544
3674,448,446.591
3676,457,446.745
3682,454,447.511
3683,452,447.619
3685,448,447.773
3686,459,447.880
3688,477,448.095
3689,453,448.202
3691,450,448.538
3692,454,448.646
3693,449,448.753
3695,469,448.968
3696,452,449.015
3697,461,449.244
3699,462,449.459
3701,451,449.795
3703,462,450.010
3707,452,450.379
3708,482,450.426
3712,480,450.977
3713,476,451.085
3715,457,451.300
3716,452,451.347
3717,456,451.454
3720,480,451.898
3721,467,452.005
3724,469,452.328
3725,454,452.374
3726,464,452.482
3727,457,452.711
3728,470,452.758
3729,457,452.804
3730,466,452.912
3741,460,454.215
3742,461,454.323
3744,465,454.416
3745,470,454.524
3747,458,454.738
3749,462,454.892
3751,469,455.107
3752,480,455.214
3756,480,455.583
3758,465,455.736
3760,464,455.951
3762,461,456.226
3769,463,457.098
3770,471,457.144
3772,466,457.359
3773,462,457.406
3774,462,457.452
3775,461,457.559
3776,466,457.667
3778,486,457.881
3779,462,458.049
3782,463,458.310
3783,480,458.417
3785,472,458.631
3786,463,458.678
3788,508,458.831
3789,459,458.938
3791,471,459.092
3792,478,459.199
3793,466,459.427
3794,464,459.473
3796,460,459.627
3798,463,459.962
3800,463,460.176
3801,462,460.223
3802,471,460.330
3804,463,460.605
3805,475,460.712
3811,475,461.293
3813,466,461.507
3815,470,461.721
3817,475,461.935
3818,482,462.042
3820,472,462.195
3824,464,462.744
3829,477,463.279
3830,465,463.386
3831,494,463.493
3834,471,463.875
3835,467,463.982
3837,476,464.135
3840,469,464.395
3841,471,464.502
3842,468,464.609
3843,499,464.655
3845,475,464.809
3847,481,465.143
3850,469,465.403
3851,466,465.571
3852,502,465.677
3854,470,466.012
3856,471,466.226
3858,471,466.379
3859,470,466.486
3862,469,466.746
3865,485,467.128
3866,494,467.234
3869,468,467.555
3871,474,467.708
3873,472,467.922
3875,480,468.135
3876,484,468.182
3878,476,468.456
3879,476,468.502
3881,474,468.836
3884,480,469.157
3885,474,469.264
3887,475,469.477
3888,471,469.584
3890,477,469.918
3893,484,470.239
3894,502,470.285
3899,476,470.759
3900,474,470.866
3902,490,471.079
3904,483,471.292
3906,486,471.506
3907,477,471.733
3908,478,471.780
3909,473,471.886
3911,476,472.160
3913,491,472.374
3916,476,472.634
3917,481,472.861
3918,481,472.968
3919,475,473.195
3922,475,473.456
3926,490,473.943
3929,480,474.385
3931,485,474.719
3932,477,474.826
3933,482,474.873
3935,482,475.087
3936,480,475.133
3937,490,475.240
3938,491,475.287
3939,480,475.333
3940,476,475.440
3941,491,475.487
3943,483,475.821
3944,497,475.928
3948,504,476.476
3950,486,476.629
3951,482,476.736
3953,491,476.890
3956,484,477.210
3957,492,477.317
3962,483,477.790
3963,486,477.837
3966,481,478.097
3967,486,478.324
3970,485,478.584
3972,487,478.797
3975,483,478.997
3978,489,479.316
3979,487,479.423
3980,486,479.529
3981,512,479.576
3982,491,479.682
3984,496,479.895
3987,485,480.215
3990,502,480.655
3991,490,480.761
3995,495,481.187
3996,483,481.234
3998,487,481.447
3999,490,481.553
4002,491,481.993
4003,496,482.220
4008,508,482.693
4009,501,482.799
4012,490,483.119
4014,484,483.453
4015,494,483.559
4017,503,483.773
4023,487,484.593
4024,491,484.700
4025,504,484.807
4026,496,484.853
4029,503,485.234
4032,494,485.554
4033,495,485.661
4035,491,485.814
4036,496,485.920
4037,493,486.027
4043,497,486.546
4045,491,486.699
4046,489,486.745
4047,490,486.852
4048,487,486.958
4049,492,487.185
4051,492,487.458
4052,516,487.565
4053,489,487.671
4057,501,488.158
4058,491,488.204
4059,491,488.311
4060,508,488.417
4061,495,488.464
4064,492,488.783
4066,501,488.996
4072,506,489.635
4073,502,489.801
4074,497,489.908
4075,497,490.014
4076,505,490.121
4078,500,490.334
4079,498,490.561
4080,502,490.607
4082,493,490.820
4085,498,491.019
4087,495,491.232
4088,492,491.338
4089,495,491.385
4090,506,491.491
4091,502,491.718
4093,506,492.051
4095,500,492.204
4097,510,492.416
4098,504,492.523
4100,514,492.856
4103,497,493.176
4106,502,493.435
4107,505,493.541
4110,499,493.741
4111,509,493.967
4114,498,494.286
4116,511,494.379
4117,529,494.485
4118,498,494.532
4120,509,494.744
4122,509,494.897
4123,497,495.003
4124,506,495.109
4125,499,495.216
4126,508,495.322
4130,516,495.988
4131,505,496.034
4132,501,496.140
4134,508,496.413
4137,505,496.672
4146,501,497.570
4149,510,497.828
4150,505,497.935
4151,514,498.041
4154,508,498.480
4156,500,498.632
4157,506,498.859
4158,514,498.905
4159,510,499.131
4161,533,499.344
4162,520,499.450
4164,513,499.603
4168,509,500.028
4170,501,500.241
4171,526,500.347
4172,522,500.453
4175,501,500.772
4176,513,500.818
4179,516,501.257
4180,529,501.364
4181,503,501.410
4182,513,501.516
4183,533,501.622
4186,506,501.881
4188,515,502.033
4189,515,502.140
4191,525,502.352
4193,510,502.504
4196,504,502.762
4197,503,502.868
4198,512,502.974
4199,522,503.081
4203,508,503.625
4205,514,503.837
4206,515,503.943
4207,509,504.049
4209,513,504.201
4216,522,504.883
4217,539,505.109
4219,508,505.441
4226,542,506.064
4227,509,506.170
4230,515,506.548
4233,521,506.926
4235,537,507.138
4236,523,507.245
4237,519,507.351
4238,527,507.457
4239,512,507.563
4240,522,507.669
4242,513,508.001
4246,509,508.545
4249,527,508.864
4253,524,509.348
4254,526,509.454
4257,511,509.713
4259,521,510.045
4265,514,510.682
4268,525,510.941
4269,523,510.987
4270,547,511.094
4273,534,511.592
4275,527,511.804
4276,512,511.910
4278,533,512.123
4279,518,512.229
4280,522,512.335
4285,518,512.926
4287,516,513.079
4289,527,513.411
4290,523,513.457
4291,522,513.563
4293,524,513.776
4294,530,513.882
4296,523,514.094
4304,529,514.884
4305,516,514.990
4307,526,515.203
4309,532,515.415
4310,516,515.521
4311,529,515.567
4313,517,515.719
4314,518,515.766
4315,526,515.872
4316,517,515.978
4318,545,516.190
4319,520,516.296
4320,524,516.342
4323,524,516.600
4325,531,516.812
4327,537,517.143
4328,544,517.249
4330,525,517.461
4331,526,517.507
4332,525,517.613
4334,532,517.765
4338,536,518.248
4341,542,518.626
4343,534,518.838
4349,520,519.413
4350,540,519.519
4351,538,519.625
4352,520,519.731
4353,521,519.777
4354,524,519.883
4357,547,520.260
4360,532,520.518
4362,546,520.729
4364,523,521.060
4367,524,521.318
4368,537,521.364
4372,546,521.728
4374,529,521.999
4375,527,522.105
4376,533,522.151
4380,525,522.514
4381,540,522.620
4385,524,523.043
4387,528,523.254
4388,529,523.360
4390,526,523.511
4392,529,523.782
4393,546,523.888
4394,527,523.993
4395,535,524.099
4399,548,524.641
4400,530,524.747
4402,548,524.898
4403,535,524.945
4405,544,525.156
4406,544,525.261
4408,540,525.473
4409,538,525.638
4413,543,526.001
4415,529,526.152
4417,529,526.363
4423,530,527.116
4426,541,527.373
4427,545,527.478
4429,547,527.689
4430,532,527.735
4434,544,528.038
4437,543,528.355
4438,538,528.460
4439,540,528.565
4442,532,529.001
4443,546,529.047
4445,533,529.258
4446,536,529.304
4448,558,529.634
4449,536,529.739
4450,541,529.844
4452,540,530.175
4454,537,530.386
4455,541,530.491
4459,549,531.032
4461,537,531.184
4462,544,531.289
4463,548,531.514
4465,533,531.666
4467,554,531.817
4469,536,532.028
4470,539,532.074
4471,539,532.180
4474,533,532.496
4475,555,532.542
4476,536,532.647
4477,537,532.753
4479,537,532.964
4480,546,533.069
4482,542,533.339
4483,541,533.564
4486,537,533.761
4488,549,533.972
4490,549,534.183
4491,553,534.288
4492,538,534.394
4494,543,534.724
4498,553,535.146
4501,541,535.343
4503,549,535.494
4506,550,535.691
4507,546,535.915
4510,547,536.231
4511,541,536.337
4512,555,536.442
4519,541,537.477
4522,546,537.674
4524,549,537.945
4526,546,538.156
4528,539,538.367
4529,569,538.413
4532,544,538.729
4533,541,538.775
4534,541,538.880
4535,551,538.985
4537,564,539.196
4541,570,539.617
4544,554,539.933
4546,568,540.084
4547,567,540.309
4548,550,540.414
4549,557,540.638
4550,551,540.743
4552,550,540.895
4555,555,541.151
4559,556,541.572
4565,570,542.264
4567,563,542.534
4568,543,542.580
4569,553,542.685
4573,551,543.106
4574,546,543.212
4577,549,543.468
4580,568,543.665
4581,550,543.770
4583,560,544.099
4584,558,544.204
4586,552,544.355
4588,557,544.566
4589,552,544.671
4593,557,545.092
4595,572,545.302
4597,553,545.631
4598,550,545.736
4601,568,545.933
4603,554,546.262
4610,566,546.880
4611,559,546.985
4612,570,547.090
4613,564,547.136
4614,549,547.241
4616,554,547.451
4619,566,547.707
4622,556,548.081
4623,553,548.187
4624,562,548.292
4627,558,548.607
4630,562,548.862
4631,563,548.967
4632,576,549.072
4633,550,549.177
4634,565,549.282
4640,552,550.031
4641,555,550.077
4643,559,550.405
4645,566,550.616
4646,558,550.661
4648,582,550.871
4650,560,551.200
4653,559,551.634
4655,573,551.785
4657,562,552.114
4658,564,552.219
4660,555,552.370
4662,562,552.521
4663,563,552.745
4665,565,552.955
4666,565,553.060
4667,557,553.165
4671,576,553.408
4673,554,553.737
4674,560,553.783
4676,568,553.993
4678,561,554.203
4680,560,554.532
4681,570,554.637
4682,558,554.742
4683,588,554.847
4684,576,554.952
4690,568,555.464
4691,564,555.688
4692,557,555.793
4693,571,555.898
4694,559,556.003
4695,585,556.049
4702,566,556.665
4704,559,556.994
4705,561,557.099
4708,563,557.354
4709,563,557.400
4718,563,558.108
4719,565,558.153
4721,564,558.481
4722,570,558.586
4723,561,558.809
4724,586,558.914
4727,560,559.229
4729,560,559.557
4732,569,559.753
4734,561,560.022
4739,563,560.428
4741,584,560.638
4743,562,560.848
4744,562,560.953
4745,567,560.998
4746,565,561.103
4747,563,561.208
4748,582,561.253
4750,582,561.463
4752,579,561.791
4756,597,562.151
4760,576,562.629
4762,566,562.838
4763,589,562.943
4764,572,563.048
4765,565,563.153
4767,570,563.303
4768,569,563.408
4770,568,563.558
4772,565,563.767
4778,565,564.277
4779,597,564.382
4780,569,564.486
4781,567,564.591
4784,579,565.023
4786,574,565.232
4787,568,565.455
4790,566,565.887
4792,571,566.096
4795,572,566.470
4796,602,566.575
4797,570,566.679
4798,575,566.784
4801,575,567.276
4803,584,567.485
4807,579,567.846
4809,568,567.996
4810,574,568.101
4812,590,568.251
4813,593,568.474
4816,574,568.670
4818,585,568.998
4822,578,569.358
4823,575,569.463
4824,598,569.509
4827,589,569.823
4829,578,570.032
4832,601,570.405
4834,588,570.615
4839,572,571.020
4841,589,571.229
4843,586,571.438
4844,589,571.484
4845,578,571.589
4850,585,572.052
4851,586,572.157
4852,573,572.261
4854,574,572.470
4855,576,572.575
4857,602,572.784
4859,575,572.934
4860,587,572.979
4863,580,573.411
4864,595,573.515
4865,581,573.620
4873,576,574.396
4875,577,574.546
4876,588,574.651
4878,575,574.977
4880,601,575.186
4885,588,575.590
4887,593,575.799
4888,578,575.904
4889,607,576.126
4891,582,576.276
4892,578,576.380
4897,582,576.784
4898,591,576.888
4899,600,576.993
4902,587,577.247
4904,594,577.573
4906,587,577.723
4910,591,578.199
4912,600,578.407
4913,584,578.512
4914,598,578.557
4915,599,578.661
4917,590,578.811
4918,587,578.915
4920,582,579.183
4921,587,579.287
4922,601,579.391
4924,590,579.600
4926,581,579.749
4927,612,579.853
4928,580,579.899
4929,587,579.944
4930,585,580.048
4934,585,580.701
4935,588,580.746
4937,585,581.072
4938,587,581.176
4939,588,581.281
4940,585,581.385
4947,598,582.115
4948,593,582.219
4950,592,582.369
4952,590,582.695
4953,584,582.741
4954,602,582.845
4957,596,583.275
4962,612,583.738
4965,592,583.933
4966,600,584.037
4967,599,584.259
4968,617,584.363
4970,595,584.631
4972,604,584.839
4974,593,585.107
4976,598,585.315
4977,608,585.420
4985,620,586.195
4987,596,586.462
4992,598,586.984
4995,602,587.414
4996,599,587.518
4997,616,587.623
5000,613,588.053
5001,598,588.158
5005,606,588.575
5006,592,588.679
5007,592,588.784
5008,601,588.888
5010,607,589.214
5011,619,589.437
5016,604,589.959
5018,601,590.109
5025,596,591.016
5027,604,591.225
5030,599,591.480
5031,608,591.584
5033,606,591.734
5037,608,592.093
5038,605,592.197
5039,599,592.360
5044,612,592.882
5045,612,592.928
5046,610,592.973
5052,614,593.599
5053,608,593.703
5057,616,594.062
5063,632,594.805
5064,607,594.909
5067,618,595.163
5069,605,595.313
5070,609,595.358
5071,599,595.463
5073,608,595.671
5074,612,595.775
5075,598,595.820
5076,598,595.925
5078,606,596.250
5080,619,596.400
5081,601,596.563
5083,621,596.771
5087,611,597.247
5088,602,597.292
5091,610,597.546
5092,614,597.650
5096,615,598.008
5097,614,598.112
5102,616,598.868
5107,617,599.447
5108,611,599.552
5110,611,599.760
5111,619,599.806
5114,608,600.236
5119,611,600.874
5120,615,600.978
5125,619,601.382
5126,603,601.428
5128,614,601.636
5129,602,601.682
5130,610,601.786
5131,610,601.890
5134,614,602.144
5135,603,602.189
5136,604,602.235
5137,617,602.339
5138,626,602.443
5139,631,602.547
5143,612,602.963
5144,618,603.008
5146,621,603.216
5147,617,603.437
5148,621,603.541
5151,623,603.736
5152,604,603.840
5153,619,604.061
5155,605,604.270
5156,610,604.315
5159,607,604.627
5160,615,604.672
5161,615,604.776
5163,608,604.984
5165,628,605.133
5168,636,605.445
5173,630,606.023
5175,622,606.231
5177,612,606.439
5180,615,606.810
5181,619,606.914
5183,610,607.121
5184,627,607.167
5186,608,607.375
5187,621,607.478
5189,611,607.803
5191,613,608.011
5192,635,608.115
5195,616,608.368
5196,620,608.472
5201,622,609.051
5203,630,609.258
5204,634,609.362
5205,617,609.466
5208,623,609.778
5210,634,610.103
5215,624,610.505
5217,623,610.654
5220,615,610.966
5223,621,611.277
5228,628,611.796
5230,620,611.946
5232,627,612.212
5234,623,612.536
5236,618,612.744
5237,630,612.965
5238,628,613.011
5240,623,613.218
5244,620,613.575
5245,623,613.679
5246,620,613.783
5248,623,613.991
5250,615,614.081
5251,623,614.185
5252,626,614.289
5253,660,614.393
5256,636,614.645
5259,619,614.956
5263,633,615.488
5265,636,615.579
5266,675,615.683
5267,617,615.786
5270,618,616.097
5273,619,616.525
5275,621,616.733
5278,629,617.044
5279,638,617.206
5281,629,617.531
5282,632,617.634
5283,628,617.680
5284,621,617.783
5286,628,617.991
5288,633,618.198
5292,635,618.613
5293,641,618.717
5294,633,618.762
5298,623,619.236
5299,635,619.339
5300,630,619.385
5303,623,619.754
5304,629,619.858
5305,628,619.962
5307,625,620.111
5310,641,620.539
5311,622,620.642
5312,636,620.746
5313,621,620.791
5314,634,620.895
5316,636,621.044
5318,627,621.251
5319,637,621.296
5320,624,621.400
5321,632,621.504
5328,627,622.229
5331,649,622.482
5333,637,622.747
5337,645,623.162
5338,668,623.265
5339,624,623.369
5343,634,623.725
5346,644,623.977
5349,633,624.404
5350,638,624.508
5352,631,624.832
5355,643,625.026
5359,626,625.440
5360,641,625.543
5364,630,625.841
5365,630,625.944
5368,633,626.196
5370,627,626.345
5371,637,626.448
5372,628,626.551
5375,638,626.861
5377,663,627.010
5380,649,627.320
5382,628,627.643
5383,631,627.747
5384,632,627.850
5385,630,627.895
5387,635,628.218
5388,637,628.322
5392,646,628.677
5395,645,629.045
5399,631,629.517
5403,655,629.931
5404,635,630.034
5408,648,630.564
5409,639,630.668
5411,660,630.875
5412,649,630.978
5413,633,631.198
5414,639,631.302
5417,666,631.670
5418,638,631.715
5419,645,631.936
5425,642,632.498
5427,637,632.647
5429,640,632.795
5430,643,632.841
5433,651,633.209
5434,638,633.313
5438,636,633.843
5439,636,633.946
5440,641,634.050
5442,653,634.315
5444,637,634.580
5445,640,634.626
5446,636,634.729
5447,639,634.833
5448,641,634.936
5449,650,635.156
5451,666,635.305
5452,645,635.408
5462,640,636.385
